game_id,game_date,season_id,season_type,team_id_home,team_id_away,wl_home,pts_home,pts_away,home_win,elo_home,elo_away,elo_prob,home_rest_days,away_rest_days,home_b2b,away_b2b,rest_diff
401320673,2021-07-07,22021,Regular Season,14,6,W,71,62,1,1581.6779884595023,1440.819438353028,0.7709705160503272,3.0,3.0,0,0,0.0
401320677,2021-07-09,22021,Regular Season,17,8,L,67,77,0,1576.2717721001602,1539.9263506726095,0.6484364370361008,2.0,2.0,0,0,0.0
401320674,2021-07-09,22021,Regular Season,18,20,W,84,72,1,1548.99714390706,1464.9110273359754,0.7082688279636286,6.0,5.0,0,0,1.0
401320675,2021-07-09,22021,Regular Season,5,9,W,82,69,1,1390.661864231494,1508.1082733994251,0.4321404450200081,6.0,4.0,0,0,2.0
401320676,2021-07-09,22021,Regular Season,11,14,W,85,77,1,1481.1931189249212,1586.2585781384955,0.4497073946913273,2.0,2.0,0,0,0.0
401320678,2021-07-10,22021,Regular Season,19,16,L,85,89,0,1518.7877233348977,1462.1030992852147,0.6746418357826349,8.0,7.0,0,0,1.0
401320683,2021-07-11,22021,Regular Season,6,8,L,61,86,0,1436.2388486740344,1552.8950794133316,0.4332569998229824,4.0,2.0,0,0,2.0
401320681,2021-07-11,22021,Regular Season,20,5,L,68,79,0,1459.076403895248,1402.0190553310938,0.6751126133536399,2.0,2.0,0,0,0.0
401320682,2021-07-11,22021,Regular Season,14,11,W,82,75,1,1575.2527260323222,1492.1989710310947,0.7070393943955481,2.0,2.0,0,0,0.0
401320680,2021-07-11,22021,Regular Season,9,18,L,54,71,0,1496.7510822998256,1554.8317673477875,0.517146546793447,2.0,2.0,0,0,0.0
401320679,2021-07-11,22021,Regular Season,3,17,L,79,95,0,1486.5421999957116,1563.303043359438,0.4902715921832942,4.0,2.0,0,0,2.0
401353913,2021-08-12,22021,Regular Season,14,18,W,79,57,1,1581.1119381444112,1565.1746982836564,0.621211715719345,14.0,14.0,0,0,0.0
401320684,2021-08-15,22021,Regular Season,19,14,W,87,85,1,1505.294886619245,1588.6877038300242,0.4807357274851992,14.0,3.0,0,0,11.0
401320685,2021-08-15,22021,Regular Season,3,18,L,59,80,0,1476.7367681520457,1557.5989325980431,0.4843731798179224,14.0,3.0,0,0,11.0
401320686,2021-08-15,22021,Regular Season,17,16,W,84,83,1,1573.108475203104,1475.5959360008674,0.7239778514521441,14.0,14.0,0,0,0.0
401320687,2021-08-15,22021,Regular Season,11,20,W,92,81,1,1486.3397589190058,1445.574151628175,0.6542148283990703,14.0,14.0,0,0,0.0
401320688,2021-08-15,22021,Regular Season,8,9,W,88,78,1,1561.5602194097912,1486.408151363957,0.6975297986651834,14.0,14.0,0,0,0.0
401320689,2021-08-15,22021,Regular Season,6,5,W,75,70,1,1427.5737086775748,1415.521307598167,0.6159354635457956,14.0,14.0,0,0,0.0
401320694,2021-08-17,22021,Regular Season,6,20,W,85,80,1,1435.254999406659,1438.6584481961563,0.5946833740108756,2.0,2.0,0,0,0.0
401320693,2021-08-17,22021,Regular Season,11,5,W,84,80,1,1493.2554623510243,1407.8400168690823,0.7098474399757532,2.0,2.0,0,0,0.0
401320691,2021-08-17,22021,Regular Season,19,3,L,76,80,0,1515.6801720695412,1467.0493045556873,0.6643843392510298,2.0,2.0,0,0,0.0
401320690,2021-08-17,22021,Regular Season,18,8,W,72,60,1,1567.2863961944015,1567.6096234364877,0.5989499354646017,2.0,2.0,0,0,0.0
401320692,2021-08-17,22021,Regular Season,17,16,W,93,83,1,1578.6289181740613,1470.07549302991,0.7364961709630538,2.0,2.0,0,0,0.0
401320695,2021-08-18,22021,Regular Season,9,14,W,83,79,1,1480.3587473372604,1578.302418379728,0.45987231238735,3.0,3.0,0,0,0.0
401320696,2021-08-19,22021,Regular Season,18,8,W,82,71,1,1575.3073974851095,1559.5886221457797,0.6209157516842189,2.0,2.0,0,0,0.0
401320697,2021-08-19,22021,Regular Season,11,16,W,77,64,1,1499.0585135515091,1464.8054164491712,0.6456858344443459,2.0,2.0,0,0,0.0
